run,step,value,wall_time
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,21,-1.7906070947647095,1776847344.5534172
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,22,-1.7899563312530518,1776847349.4797437
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,23,-1.7888895273208618,1776847354.5357766
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,1,-1.7895519733428955,1776842192.4296386
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,2,-1.7895324230194092,1776842258.2539563
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,3,-1.7875958681106567,1776842285.3696449
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,4,-1.788900375366211,1776842301.1167598
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,5,-1.7862247228622437,1776842318.555029
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,6,-1.7828208208084106,1776842335.0839863
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,7,-1.784708023071289,1776842353.215912
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,8,-1.780975580215454,1776842371.8296685
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,9,-1.7871173620224,1776842391.4559295
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,10,-1.7869104146957397,1776842413.219455
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,11,-1.76508367061615,1776842437.7319577
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,12,-1.7779552936553955,1776842495.183338
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,13,-1.78582763671875,1776842554.1993425
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,14,-1.7758986949920654,1776842612.2548165
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,15,-1.7794368267059326,1776842670.9373834
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,16,-1.7795560359954834,1776842729.207514
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,17,-1.766106367111206,1776842754.8140666
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,18,-1.773173213005066,1776842775.5659466
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,19,-1.7044312953948975,1776842794.1421406
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,20,-1.7658400535583496,1776842811.6070578
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,21,-1.7768462896347046,1776842840.8523383
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,22,-1.8303033113479614,1776842898.306705
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,23,-1.757809042930603,1776842956.644502
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,24,-1.7708349227905273,1776843013.6552315
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,25,-1.7615710496902466,1776843077.21183
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,26,-1.6850616931915283,1776843137.6937635
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,27,-1.7533044815063477,1776843200.3481624
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,28,-1.7713335752487183,1776843259.9866476
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,29,-1.801445484161377,1776843317.5320754
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,30,-1.8295881748199463,1776843376.078551
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,31,-1.9527066946029663,1776843425.339602
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,32,-2.006636381149292,1776843484.7986174
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,33,-2.0359017848968506,1776843542.2630267
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,34,-1.945631742477417,1776843599.70616
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,35,-1.9666330814361572,1776843658.7903457
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,36,-2.0245730876922607,1776843715.0268075
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,37,-1.9782145023345947,1776843770.476309
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,38,-1.9662561416625977,1776843820.1598246
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,39,-1.9846514463424683,1776843877.0965014
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,40,-1.9772802591323853,1776843930.6672022
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,41,-1.9908974170684814,1776843989.1189797
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,42,-1.9816086292266846,1776844023.1863437
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,43,-1.9713016748428345,1776844040.8031518
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,44,-1.976151943206787,1776844057.8992054
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,45,-1.976339340209961,1776844075.020788
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,46,-1.9643669128417969,1776844093.2128932
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,47,-2.01469349861145,1776844112.3930929
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,48,-1.9870357513427734,1776844131.2991652
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,49,-1.96996009349823,1776844151.88067
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,50,-1.9781335592269897,1776844177.4937296
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,51,-1.9133577346801758,1776844357.6185083
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,52,-1.9943324327468872,1776844417.0849216
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,53,-1.9462755918502808,1776844479.0034995
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,54,-2.0155704021453857,1776844538.4552782
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,55,-1.9510682821273804,1776844574.5610497
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,56,-2.011556386947632,1776844609.078648
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,57,-1.9720574617385864,1776844665.6881938
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,58,-1.991930365562439,1776844722.4762795
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,59,-2.0062754154205322,1776844751.5508249
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,60,-2.0063672065734863,1776844805.6445696
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,61,-1.9859989881515503,1776844864.0457394
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,62,-1.9599896669387817,1776844892.1654217
